'07050035687', 'Jonas', 'Jakobsen', 'Male', 'Henriksenroa 07D', '5944', 'Dahl', '25 65 66 61', 'janevensen@example.com', 'passport'
'12071068506', 'Emilie', 'Berg', 'Female', 'Dahllunden 8B', '8951', 'Sanderstrøm', '32 57 23 54', 'jens12@example.org', 'nationalidcard'
'12053059655', 'Janne', 'Madsen', 'Female', 'Myklebustspranget 4A', '1931', 'Egilby', '87 42 56 80', 'frode48@example.com', 'nationalidcard'
'14038059946', 'Tommy', 'Bakken', 'Male', 'Olsenhagen 3A', '8320', 'Haraldhelle', '+47725027688', 'birkelandjohn@example.org', 'passport'
'23085052600', 'Stig', 'Engen', 'Male', 'Moenekra 8C', '4879', 'Beritdal', '20881959', 'tommylunde@example.org', 'passport'
'17109042574', 'Kristin', 'Eriksen', 'Female', 'Lundefaret 240', '5676', 'Moen', '43098757', 'hsandvik@example.org', 'passport'
'03042073071', 'Alexander', 'Andreassen', 'Male', 'Næssskogen 96', '0459', 'Johanodden', '91663007', 'holmsebastian@example.net', 'passport'
'03071067943', 'Stein', 'Larsen', 'Male', 'Isaksenspranget 2C', '9085', 'Marianneby', '439 79 971', 'danielnguyen@example.org', 'driverslicense'
'17105062346', 'Sigurd', 'Myklebust', 'Male', 'Rønningholtet 50', '8101', 'Nguyen', '+47 13 59 95 48', 'liengunnar@example.org', 'driverslicense'
'22051078991', 'Stine', 'Næss', 'Female', 'Johansenroa 98', '3488', 'Bøe', '415 69 032', 'inguyen@example.net', 'driverslicense'
'05060073022', 'Morten', 'Knutsen', 'Male', 'Hanssenmarka 8', '0583', 'Vidarfjord', '58780176', 'gundersenelse@example.net', 'passport'
'09030073824', 'Mathias', 'Aas', 'Male', 'Karlsenlia 2B', '0542', 'Andresen', '+47402240157', 'ragnhild57@example.net', 'nationalidcard'
'21067051006', 'Randi', 'Lund', 'Female', 'Svendsenstranda 5F', '7707', 'Karlsen', '58 87 09 43', 'ruth10@example.org', 'passport'
'16041013379', 'Roar', 'Pettersen', 'Male', 'Jacobsentjernet 667', '9512', 'Håkonfoss', '79936183', 'annboee@example.com', 'driverslicense'
'03071064136', 'Helene', 'Sæther', 'Female', 'Liemarka 6', '6518', 'Kristinvåg', '411 25 344', 'kristensendag@example.net', 'passport'
'06037043201', 'Odd', 'Holm', 'Male', 'Haugenflata 14B', '7667', 'Kjellberg', '404 31 998', 'irene94@example.net', 'nationalidcard'
'24084084454', 'Markus', 'Johnsen', 'Male', 'Myhrejordet 17C', '0211', 'Ellenhamn', '42282669', 'linda58@example.org', 'nationalidcard'
'18045066261', 'Siri', 'Eliassen', 'Female', 'Jakobsenmoen 8', '4011', 'Haugland', '+47 70 88 67 77', 'jjoergensen@example.org', 'passport'
'09103030539', 'Ole', 'Tangen', 'Male', 'Bergetjernet 145', '3494', 'Moe', '90048866', 'andreaskristensen@example.org', 'nationalidcard'
'10118016444', 'Øyvind', 'Birkeland', 'Male', 'Mikkelseneggen 1', '7015', 'Bakken', '73 87 56 84', 'harald09@example.org', 'passport'
'21020078138', 'Bjørg', 'Nguyen', 'Female', 'Andreassentunet 20F', '1744', 'Tobiasgrunn', '74 71 74 27', 'frankjohansen@example.com', 'passport'
'21013061990', 'Sindre', 'Lien', 'Male', 'Johansenflata 868', '4207', 'Toreodden', '26062915', 'eaasen@example.org', 'driverslicense'
'17076086634', 'Helene', 'Ruud', 'Female', 'Pedersengjerdet 606', '1526', 'Nguyen', '446 53 968', 'karensandvik@example.net', 'nationalidcard'
'06077077882', 'Torill', 'Strand', 'Female', 'Hansenholtet 6', '6862', 'Edvardsen', '+47744787523', 'joergenolsen@example.org', 'driverslicense'
'09031069043', 'Bjørg', 'Bøe', 'Female', 'Antonsenalléen 93', '0128', 'Elsevåg', '957 59 162', 'alianne@example.com', 'passport'
'06034025186', 'Martin', 'Tangen', 'Male', 'Gulbrandsengjerdet 9F', '5545', 'Amundsen', '94757541', 'mona86@example.com', 'driverslicense'
'08053010040', 'Kristin', 'Bakke', 'Female', 'Nielsenstien 1', '2215', 'Vegardhavn', '98133690', 'sveinengen@example.com', 'driverslicense'
'12073067887', 'Eirik', 'Jensen', 'Male', 'Christensenkollen 21', '7602', 'Helland', '49484055', 'antonsenoeystein@example.org', 'nationalidcard'
'19070095880', 'Markus', 'Lund', 'Male', 'Rønningroa 02', '5394', 'Gulbrandsen', '949 32 854', 'martine84@example.net', 'passport'
'05024091040', 'Tove', 'Madsen', 'Female', 'Holmflata 8D', '8567', 'Stineø', '45538075', 'kjerstiaune@example.org', 'passport'
'11099097268', 'Kåre', 'Antonsen', 'Male', 'Eliassentunet 43E', '9740', 'Haugen', '94445615', 'sofie08@example.org', 'passport'
'01029011275', 'Heidi', 'Moe', 'Female', 'Solheimstubben 47', '6030', 'Paulsen', '52392747', 'tknutsen@example.net', 'driverslicense'
'23107015966', 'Eirik', 'Bøe', 'Male', 'Eidekroken 2', '8198', 'Gerdfjell', '31 73 21 77', 'jenny48@example.net', 'driverslicense'
'17040099386', 'Irene', 'Sivertsen', 'Female', 'Henriksenlia 40G', '8360', 'Arnesen', '46 30 00 86', 'anette49@example.org', 'passport'
'12044045560', 'Grete', 'Evensen', 'Female', 'Hauglandfaret 91D', '8919', 'Larsen', '444 42 739', 'vlund@example.net', 'driverslicense'
'05069087969', 'Inger', 'Andersen', 'Female', 'Jakobsenvika 4B', '3535', 'Kristiansen', '84729472', 'nygaardmarkus@example.org', 'driverslicense'
